Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
18,    Ausland,7126,19664
,,,
19,  Nordwestmecklenburg,46122,161623
20,    Deutschland,43909,155467
21,    Ausland,2213,6156
,,,
22,  Vorpommern-Greifswald,91700,376555
23,    Deutschland,90144,371453
24,    Ausland,1556,5102
,,,
25,  Ludwigslust-Parchim,29279,88387
26,    Deutschland,26152,82698
27,    Ausland,3127,5689
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",6255,15076
29,    Deutschland,5860,13598
30,    Ausland,395,1478
,,,
31,"  Neubrandenburg, Stadt 11)",4064,7060
32,    Deutschland,3757,6584
33,    Ausland,307,476
,,,
34,"  Stralsund, Hansestadt 12)",15335,36072
35,    Deutschland,13785,32046
36,    Ausland,1550,4026
,,,
37,"  Wismar, Hansestadt 13)",8565,22543
38,    Deutschland,7484,20235
39,    Ausland,1081,2308
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Mai 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,685220,2478503
2,  Deutschland,650875,2389152
3,  Ausland,34345,89351
,,,
4,"  Rostock, Hansestadt",64501,162737
5,    Deutschland,58966,148355
6,    Ausland,5535,14382
,,,
7,"  Schwerin, Landeshauptstadt",21229,38227
8,    Deutschland,18867,34281
9,    Ausland,2362,3946
,,,
,  Mecklenburgische,,
10,    Seenplatte,105018,326146
11,    Deutschland,102380,319545
12,    Ausland,2638,6601
,,,
13,  Landkreis Rostock,96118,400291
14,    Deutschland,92981,392135
15,    Ausland,3137,8156
,,,
16,  Vorpommern-Rügen,189084,760397
17,    Deutschland,178026,728059
18,    Ausland,11058,32338
,,,
19,  Nordwestmecklenburg,56826,192267
20,    Deutschland,53440,184075
21,    Ausland,3386,8192
,,,
22,  Vorpommern-Greifswald,112098,483056
23,    Deutschland,109404,474614
24,    Ausland,2694,8442
,,,
25,  Ludwigslust-Parchim,40346,115382
26,    Deutschland,36811,108088
27,    Ausland,3535,7294
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",8968,20582
29,    Deutschland,8327,18655
30,    Ausland,641,1927
,,,
31,"  Neubrandenburg, Stadt 11)",6997,12022
32,    Deutschland,6470,11363
33,    Ausland,527,659
,,,
34,"  Stralsund, Hansestadt 12)",18160,42393
35,    Deutschland,15495,35745
36,    Ausland,2665,6648
,,,
37,"  Wismar, Hansestadt 13)",11409,27948
38,    Deutschland,9796,24970
39,    Ausland,1613,2978
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Juni 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,855069,3312908
2,  Deutschland,807758,3175853
3,  Ausland,47311,137055
,,,
4,"  Rostock, Hansestadt",71482,190859
5,    Deutschland,65674,175641
6,    Ausland,5808,15218
,,,
7,"  Schwerin, Landeshauptstadt",21616,38763
8,    Deutschland,19906,35723
9,    Ausland,1710,3040
,,,
,  Mecklenburgische,,
10,    Seenplatte,133700,434411
11,    Deutschland,128942,421541
12,    Ausland,4758,12870
,,,
13,  Landkreis Rostock,122670,527889
14,    Deutschland,118075,514216
15,    Ausland,4595,13673
,,,
16,  Vorpommern-Rügen,242995,1067082
17,    Deutschland,226696,1016163
18,    Ausland,16299,50919
,,,
19,  Nordwestmecklenburg,73851,252009
20,    Deutschland,68704,238502
21,    Ausland,5147,13507
,,,
22,  Vorpommern-Greifswald,142721,666481
23,    Deutschland,138136,649637
24,    Ausland,4585,16844
,,,
25,  Ludwigslust-Parchim,46034,135414
26,    Deutschland,41625,124430
27,    Ausland,4409,10984
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",9542,21187
29,    Deutschland,8767,19701
30,    Ausland,775,1486
,,,
31,"  Neubrandenburg, Stadt 11)",9197,14113
32,    Deutschland,8609,13171
33,    Ausland,588,942
,,,
34,"  Stralsund, Hansestadt 12)",20337,49022
35,    Deutschland,17422,41465
36,    Ausland,2915,7557
,,,
37,"  Wismar, Hansestadt 13)",12907,29751
38,    Deutschland,10975,26270
39,    Ausland,1932,3481
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Juli 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,S,
1,Mecklenburg-Vorpommern,1028886,4649307
2,  Deutschland,945858,4403870
3,  Ausland,83028,245437
,,,
4,"  Rostock, Hansestadt",80722,238224
5,    Deutschland,71118,216455
6,    Ausland,9604,21769
,,,
7,"  Schwerin, Landeshauptstadt",24705,44702
8,    Deutschland,20555,37814
9,    Ausland,4150,6888
,,,
,  Mecklenburgische,,
10,    Seenplatte,169784,646539
11,    Deutschland,161632,623344
12,    Ausland,8152,23195
,,,
13,  Landkreis Rostock,141467,714921
14,    Deutschland,132646,687412
15,    Ausland,8821,27509
,,,
16,  Vorpommern-Rügen,310869,1546145
17,    Deutschland,280258,1445312
