469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;Gästeübernachtungen;Gästeankünfte
;;;;insgesamt;insgesamt
04011;Stadt Bremen;2013-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;139035;81172
04011;Stadt Bremen;2013-12;Sonstige Einrichtungen 3);7861;2087
04011;Stadt Bremen;2013-12;Insgesamt;146896;83259
04011;Stadt Bremen;2013-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;142219;83753
04011;Stadt Bremen;2013-11;Sonstige Einrichtungen 3);8037;2502
04011;Stadt Bremen;2013-11;Insgesamt;150256;86255
04011;Stadt Bremen;2013-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;149622;85594
04011;Stadt Bremen;2013-10;Sonstige Einrichtungen 3);10209;3636
04011;Stadt Bremen;2013-10;Insgesamt;159831;89230
04011;Stadt Bremen;2013-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;149401;85592
04011;Stadt Bremen;2013-09;Sonstige Einrichtungen 3);9841;2887
04011;Stadt Bremen;2013-09;Insgesamt;159242;88479
04011;Stadt Bremen;2013-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;144278;81517
04011;Stadt Bremen;2013-08;Sonstige Einrichtungen 3);10450;3831
04011;Stadt Bremen;2013-08;Insgesamt;154728;85348
04011;Stadt Bremen;2013-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;129900;74720
04011;Stadt Bremen;2013-07;Sonstige Einrichtungen 3);10028;3554
04011;Stadt Bremen;2013-07;Insgesamt;139928;78274
04011;Stadt Bremen;2013-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;133750;78015
04011;Stadt Bremen;2013-06;Sonstige Einrichtungen 3);8929;2871
04011;Stadt Bremen;2013-06;Insgesamt;142679;80886
04011;Stadt Bremen;2013-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;145360;81897
04011;Stadt Bremen;2013-05;Sonstige Einrichtungen 3);9164;3317
04011;Stadt Bremen;2013-05;Insgesamt;154524;85214
04011;Stadt Bremen;2013-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;126654;73144
04011;Stadt Bremen;2013-04;Sonstige Einrichtungen 3);9106;3069
04011;Stadt Bremen;2013-04;Insgesamt;135760;76213
04011;Stadt Bremen;2013-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;108563;62397
04011;Stadt Bremen;2013-03;Sonstige Einrichtungen 3);8810;3344
04011;Stadt Bremen;2013-03;Insgesamt;117373;65741
04011;Stadt Bremen;2013-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;103349;60401
04011;Stadt Bremen;2013-02;Sonstige Einrichtungen 3);6765;3688
04011;Stadt Bremen;2013-02;Insgesamt;110114;64089
04011;Stadt Bremen;2013-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;96722;57271
04011;Stadt Bremen;2013-01;Sonstige Einrichtungen 3);3715;1830
04011;Stadt Bremen;2013-01;Insgesamt;100437;59101
04011;Stadt Bremen;2012-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;122664;70336
04011;Stadt Bremen;2012-12;Sonstige Einrichtungen 3);3330;1643
04011;Stadt Bremen;2012-12;Insgesamt;125994;71979
04011;Stadt Bremen;2012-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;130377;75932
04011;Stadt Bremen;2012-11;Sonstige Einrichtungen 3);4787;2353
04011;Stadt Bremen;2012-11;Insgesamt;135164;78285
04011;Stadt Bremen;2012-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;143148;79280
04011;Stadt Bremen;2012-10;Sonstige Einrichtungen 3);7584;3359
04011;Stadt Bremen;2012-10;Insgesamt;150732;82639
04011;Stadt Bremen;2012-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;141300;79252
04011;Stadt Bremen;2012-09;Sonstige Einrichtungen 3);7430;3126
04011;Stadt Bremen;2012-09;Insgesamt;148730;82378
04011;Stadt Bremen;2012-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;117250;65311
04011;Stadt Bremen;2012-08;Sonstige Einrichtungen 3);7693;3147
04011;Stadt Bremen;2012-08;Insgesamt;124943;68458
04011;Stadt Bremen;2012-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;122072;68670
04011;Stadt Bremen;2012-07;Sonstige Einrichtungen 3);7574;3492
04011;Stadt Bremen;2012-07;Insgesamt;129646;72162
04011;Stadt Bremen;2012-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;126161;71559
04011;Stadt Bremen;2012-06;Sonstige Einrichtungen 3);6864;3279
04011;Stadt Bremen;2012-06;Insgesamt;133025;74838
04011;Stadt Bremen;2012-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;124144;73840
04011;Stadt Bremen;2012-05;Sonstige Einrichtungen 3);7230;3136
04011;Stadt Bremen;2012-05;Insgesamt;131374;76976
04011;Stadt Bremen;2012-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;116594;68067
04011;Stadt Bremen;2012-04;Sonstige Einrichtungen 3);6751;3079
04011;Stadt Bremen;2012-04;Insgesamt;123345;71146
04011;Stadt Bremen;2012-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;109113;66384
04011;Stadt Bremen;2012-03;Sonstige Einrichtungen 3);6136;2890
04011;Stadt Bremen;2012-03;Insgesamt;115249;69274
04011;Stadt Bremen;2012-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;106855;65893
04011;Stadt Bremen;2012-02;Sonstige Einrichtungen 3);2960;1573
04011;Stadt Bremen;2012-02;Insgesamt;109815;67466
04011;Stadt Bremen;2012-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;96791;59513
04011;Stadt Bremen;2012-01;Sonstige Einrichtungen 3);2701;1418
04011;Stadt Bremen;2012-01;Insgesamt;99492;60931
04011;Stadt Bremen;2011-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;121608;74691
04011;Stadt Bremen;2011-12;Sonstige Einrichtungen 3);3998;2043
04011;Stadt Bremen;2011-12;Insgesamt;125606;76734
04011;Stadt Bremen;2011-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;127856;78588
04011;Stadt Bremen;2011-11;Sonstige Einrichtungen 3);5184;2530
04011;Stadt Bremen;2011-11;Insgesamt;133040;81118
04011;Stadt Bremen;2011-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;140863;81306
04011;Stadt Bremen;2011-10;Sonstige Einrichtungen 3);7508;3798
04011;Stadt Bremen;2011-10;Insgesamt;148371;85104
04011;Stadt Bremen;2011-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;138589;79995
04011;Stadt Bremen;2011-09;Sonstige Einrichtungen 3);7392;3753
04011;Stadt Bremen;2011-09;Insgesamt;145981;83748
04011;Stadt Bremen;2011-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;128439;73706
04011;Stadt Bremen;2011-08;Sonstige Einrichtungen 3);7319;3711
04011;Stadt Bremen;2011-08;Insgesamt;135758;77417
04011;Stadt Bremen;2011-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;122825;71705
04011;Stadt Bremen;2011-07;Sonstige Einrichtungen 3);7451;3803
04011;Stadt Bremen;2011-07;Insgesamt;130276;75508
04011;Stadt Bremen;2011-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;124098;71384
04011;Stadt Bremen;2011-06;Sonstige Einrichtungen 3);8419;4134
04011;Stadt Bremen;2011-06;Insgesamt;132517;75518
04011;Stadt Bremen;2011-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;138520;82328
04011;Stadt Bremen;2011-05;Sonstige Einrichtungen 3);7673;3307
04011;Stadt Bremen;2011-05;Insgesamt;146193;85635
04011;Stadt Bremen;2011-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;118003;69429
04011;Stadt Bremen;2011-04;Sonstige Einrichtungen 3);6827;3055
04011;Stadt Bremen;2011-04;Insgesamt;124830;72484
04011;Stadt Bremen;2011-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;110055;66883
04011;Stadt Bremen;2011-03;Sonstige Einrichtungen 3);6069;2828
04011;Stadt Bremen;2011-03;Insgesamt;116124;69711
04011;Stadt Bremen;2011-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;95964;57950
04011;Stadt Bremen;2011-02;Sonstige Einrichtungen 3);4536;2152
04011;Stadt Bremen;2011-02;Insgesamt;100500;60102
04011;Stadt Bremen;2011-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;85701;53160
04011;Stadt Bremen;2011-01;Sonstige Einrichtungen 3);3896;1968
04011;Stadt Bremen;2011-01;Insgesamt;89597;55128
04011;Stadt Bremen;2010-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;118622;73864
04011;Stadt Bremen;2010-12;Sonstige Einrichtungen 3);4238;2155
04011;Stadt Bremen;2010-12;Insgesamt;122860;76019
04011;Stadt Bremen;2010-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;118318;73892
04011;Stadt Bremen;2010-11;Sonstige Einrichtungen 3);5269;2687
04011;Stadt Bremen;2010-11;Insgesamt;123587;76579
04011;Stadt Bremen;2010-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;141660;83160
04011;Stadt Bremen;2010-10;Sonstige Einrichtungen 3);8220;3860
04011;Stadt Bremen;2010-10;Insgesamt;149880;87020
04011;Stadt Bremen;2010-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;130720;78666
04011;Stadt Bremen;2010-09;Sonstige Einrichtungen 3);7069;3308
04011;Stadt Bremen;2010-09;Insgesamt;137789;81974
04011;Stadt Bremen;2010-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;121270;70720
04011;Stadt Bremen;2010-08;Sonstige Einrichtungen 3);8133;4111
04011;Stadt Bremen;2010-08;Insgesamt;129403;74831
04011;Stadt Bremen;2010-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;114160;63937
