469-30: Beherbergungsbetriebe, Gästebetten,Zeit,Zeit,,
Gebietsschlüssel,Gebietseinheit,Jahr,Monat,Tourismus (Monatszahlen) 1),Tourismus (Monatszahlen) 1)
,,,,Gästeübernachtungen,Gästeankünfte
,,,,insgesamt,insgesamt
4011,Stadt Bremen,2009,2,85827,51874
4011,Stadt Bremen,2009,2,4434,2021
4011,Stadt Bremen,2009,1,73349,44328
4011,Stadt Bremen,2009,1,3248,1547
4011,Stadt Bremen,2008,12,101126,61323
4011,Stadt Bremen,2008,12,4781,2636
4011,Stadt Bremen,2008,11,112325,67617
4011,Stadt Bremen,2008,11,5401,2523
4011,Stadt Bremen,2008,10,119189,67567
4011,Stadt Bremen,2008,10,8518,3969
4011,Stadt Bremen,2008,9,124515,72796
4011,Stadt Bremen,2008,9,8965,3632
4011,Stadt Bremen,2008,8,113722,63345
4011,Stadt Bremen,2008,8,9883,4742
4011,Stadt Bremen,2008,7,101973,56298
4011,Stadt Bremen,2008,7,8059,3825
4011,Stadt Bremen,2008,6,109662,65063
4011,Stadt Bremen,2008,6,8762,3763
4011,Stadt Bremen,2008,5,110661,62620
4011,Stadt Bremen,2008,5,10091,3841
4011,Stadt Bremen,2008,4,106178,64769
4011,Stadt Bremen,2008,4,8248,3355
4011,Stadt Bremen,2008,3,91334,52736
4011,Stadt Bremen,2008,3,6792,3016
4011,Stadt Bremen,2008,2,96795,58960
4011,Stadt Bremen,2008,2,4577,1982
4011,Stadt Bremen,2008,1,87756,53532
4011,Stadt Bremen,2008,1,4045,1695
4012,Stadt Bremerhaven,2018,6,38113,21729
4012,Stadt Bremerhaven,2018,6,6225,2498
4012,Stadt Bremerhaven,2018,5,40281,23471
4012,Stadt Bremerhaven,2018,5,6716,3032
4012,Stadt Bremerhaven,2018,4,31052,16813
4012,Stadt Bremerhaven,2018,4,3470,1484
4012,Stadt Bremerhaven,2018,3,27678,14637
4012,Stadt Bremerhaven,2018,3,3943,1416
4012,Stadt Bremerhaven,2018,2,24186,12494
4012,Stadt Bremerhaven,2018,2,2328,1166
4012,Stadt Bremerhaven,2018,1,20543,10913
4012,Stadt Bremerhaven,2018,1,1979,905
4012,Stadt Bremerhaven,2017,12,21064,11875
4012,Stadt Bremerhaven,2017,12,2323,935
4012,Stadt Bremerhaven,2017,11,23842,12854
4012,Stadt Bremerhaven,2017,11,3102,1367
4012,Stadt Bremerhaven,2017,10,33750,17759
4012,Stadt Bremerhaven,2017,10,6785,2883
4012,Stadt Bremerhaven,2017,9,33998,19841
4012,Stadt Bremerhaven,2017,9,6751,2872
4012,Stadt Bremerhaven,2017,8,39216,21583
4012,Stadt Bremerhaven,2017,8,7172,3119
4012,Stadt Bremerhaven,2017,7,35823,20370
4012,Stadt Bremerhaven,2017,7,6931,3117
4012,Stadt Bremerhaven,2017,6,34736,19830
4012,Stadt Bremerhaven,2017,6,5833,2641
4012,Stadt Bremerhaven,2017,5,33371,18645
4012,Stadt Bremerhaven,2017,5,7405,3191
4012,Stadt Bremerhaven,2017,4,28325,14961
4012,Stadt Bremerhaven,2017,4,5501,2284
4012,Stadt Bremerhaven,2017,3,24252,12368
4012,Stadt Bremerhaven,2017,3,3442,1326
4012,Stadt Bremerhaven,2017,2,22063,11388
4012,Stadt Bremerhaven,2017,2,1835,756
4012,Stadt Bremerhaven,2017,1,19680,10867
4012,Stadt Bremerhaven,2017,1,1318,553
4012,Stadt Bremerhaven,2016,12,20114,11308
4012,Stadt Bremerhaven,2016,12,1879,826
4012,Stadt Bremerhaven,2016,11,22338,12571
4012,Stadt Bremerhaven,2016,11,2086,991
4012,Stadt Bremerhaven,2016,10,31250,17462
4012,Stadt Bremerhaven,2016,10,4544,1859
4012,Stadt Bremerhaven,2016,9,33578,19472
4012,Stadt Bremerhaven,2016,9,5884,2444
4012,Stadt Bremerhaven,2016,8,38245,20725
4012,Stadt Bremerhaven,2016,8,5630,2295
4012,Stadt Bremerhaven,2016,7,36229,19226
4012,Stadt Bremerhaven,2016,7,5829,2544
4012,Stadt Bremerhaven,2016,6,32371,17836
4012,Stadt Bremerhaven,2016,6,6012,2525
4012,Stadt Bremerhaven,2016,5,36659,18628
4012,Stadt Bremerhaven,2016,5,6698,2933
4012,Stadt Bremerhaven,2016,4,29590,14558
4012,Stadt Bremerhaven,2016,4,4103,1768
4012,Stadt Bremerhaven,2016,3,26834,13765
4012,Stadt Bremerhaven,2016,3,4958,1840
4012,Stadt Bremerhaven,2016,2,19953,11133
4012,Stadt Bremerhaven,2016,2,1680,868
4012,Stadt Bremerhaven,2016,1,20438,9680
4012,Stadt Bremerhaven,2016,1,1709,753
4012,Stadt Bremerhaven,2015,12,61561,31840
4012,Stadt Bremerhaven,2015,12,4955,2127
4012,Stadt Bremerhaven,2015,11,50079,26086
4012,Stadt Bremerhaven,2015,11,5765,2592
4012,Stadt Bremerhaven,2015,10,63054,32309
4012,Stadt Bremerhaven,2015,10,11189,5272
4012,Stadt Bremerhaven,2015,9,65379,33601
4012,Stadt Bremerhaven,2015,9,10737,4749
4012,Stadt Bremerhaven,2015,8,69477,34599
4012,Stadt Bremerhaven,2015,8,14167,6655
4012,Stadt Bremerhaven,2015,7,60941,32160
4012,Stadt Bremerhaven,2015,7,13074,6266
4012,Stadt Bremerhaven,2015,6,59224,30886
4012,Stadt Bremerhaven,2015,6,12741,6303
4012,Stadt Bremerhaven,2015,5,64831,33354
4012,Stadt Bremerhaven,2015,5,12716,6178
4012,Stadt Bremerhaven,2015,4,50274,26960
4012,Stadt Bremerhaven,2015,4,10693,4544
4012,Stadt Bremerhaven,2015,3,46930,24167
4012,Stadt Bremerhaven,2015,3,7323,3291
4012,Stadt Bremerhaven,2015,2,38854,19442
4012,Stadt Bremerhaven,2015,2,4032,1982
4012,Stadt Bremerhaven,2015,1,34541,17738
4012,Stadt Bremerhaven,2015,1,3827,1773
4012,Stadt Bremerhaven,2014,12,20808,10844
4012,Stadt Bremerhaven,2014,12,939,508
4012,Stadt Bremerhaven,2014,11,23887,12508
4012,Stadt Bremerhaven,2014,11,3274,1711
4012,Stadt Bremerhaven,2014,10,33106,16112
4012,Stadt Bremerhaven,2014,10,5550,2547
4012,Stadt Bremerhaven,2014,9,32538,16926
4012,Stadt Bremerhaven,2014,9,5171,2245
4012,Stadt Bremerhaven,2014,8,33252,16679
4012,Stadt Bremerhaven,2014,8,6807,3213
4012,Stadt Bremerhaven,2014,7,30764,15938
4012,Stadt Bremerhaven,2014,7,6683,3194
4012,Stadt Bremerhaven,2014,6,30560,15308
4012,Stadt Bremerhaven,2014,6,6820,3498
4012,Stadt Bremerhaven,2014,5,33208,16272
4012,Stadt Bremerhaven,2014,5,5867,2849
4012,Stadt Bremerhaven,2014,4,24401,12821
4012,Stadt Bremerhaven,2014,4,4764,2101
4012,Stadt Bremerhaven,2014,3,22576,12123
4012,Stadt Bremerhaven,2014,3,3838,1581
4012,Stadt Bremerhaven,2014,2,19146,9270
4012,Stadt Bremerhaven,2014,2,2180,928
4012,Stadt Bremerhaven,2014,1,16718,8603
