469-30: Beherbergungsbetriebe, G�stebetten, -�bernachtungen, -ank�nfte nach Betriebsarten (Monatszahlen);;;;;
Gebietsschl�ssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;G�ste�bernachtungen;G�steank�nfte
;;;;insgesamt;insgesamt
4011;Stadt Bremen;2014-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;117264;68947
4011;Stadt Bremen;2014-02;Sonstige Einrichtungen 3);11723;2445
4011;Stadt Bremen;2014-02;Insgesamt;128987;71392
4011;Stadt Bremen;2014-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;104247;61662
4011;Stadt Bremen;2014-01;Sonstige Einrichtungen 3);7244;1643
4011;Stadt Bremen;2014-01;Insgesamt;111491;63305
4011;Stadt Bremen;2013-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;139035;81172
4011;Stadt Bremen;2013-12;Sonstige Einrichtungen 3);7861;2087
4011;Stadt Bremen;2013-12;Insgesamt;146896;83259
4011;Stadt Bremen;2013-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;142219;83753
4011;Stadt Bremen;2013-11;Sonstige Einrichtungen 3);8037;2502
4011;Stadt Bremen;2013-11;Insgesamt;150256;86255
4011;Stadt Bremen;2013-10;Hotels, Hotels garnis, Gasth�fe, Pensionen;149622;85594
4011;Stadt Bremen;2013-10;Sonstige Einrichtungen 3);10209;3636
4011;Stadt Bremen;2013-10;Insgesamt;159831;89230
4011;Stadt Bremen;2013-09;Hotels, Hotels garnis, Gasth�fe, Pensionen;149401;85592
4011;Stadt Bremen;2013-09;Sonstige Einrichtungen 3);9841;2887
4011;Stadt Bremen;2013-09;Insgesamt;159242;88479
4011;Stadt Bremen;2013-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;144278;81517
4011;Stadt Bremen;2013-08;Sonstige Einrichtungen 3);10450;3831
4011;Stadt Bremen;2013-08;Insgesamt;154728;85348
4011;Stadt Bremen;2013-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;129900;74720
4011;Stadt Bremen;2013-07;Sonstige Einrichtungen 3);10028;3554
4011;Stadt Bremen;2013-07;Insgesamt;139928;78274
4011;Stadt Bremen;2013-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;133750;78015
4011;Stadt Bremen;2013-06;Sonstige Einrichtungen 3);8929;2871
4011;Stadt Bremen;2013-06;Insgesamt;142679;80886
4011;Stadt Bremen;2013-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;145360;81897
4011;Stadt Bremen;2013-05;Sonstige Einrichtungen 3);9164;3317
4011;Stadt Bremen;2013-05;Insgesamt;154524;85214
4011;Stadt Bremen;2013-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;126654;73144
4011;Stadt Bremen;2013-04;Sonstige Einrichtungen 3);9106;3069
4011;Stadt Bremen;2013-04;Insgesamt;135760;76213
4011;Stadt Bremen;2013-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;108563;62397
4011;Stadt Bremen;2013-03;Sonstige Einrichtungen 3);8810;3344
4011;Stadt Bremen;2013-03;Insgesamt;117373;65741
4011;Stadt Bremen;2013-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;103349;60401
4011;Stadt Bremen;2013-02;Sonstige Einrichtungen 3);6765;3688
4011;Stadt Bremen;2013-02;Insgesamt;110114;64089
4011;Stadt Bremen;2013-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;96722;57271
4011;Stadt Bremen;2013-01;Sonstige Einrichtungen 3);3715;1830
4011;Stadt Bremen;2013-01;Insgesamt;100437;59101
4011;Stadt Bremen;2012-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;122664;70336
4011;Stadt Bremen;2012-12;Sonstige Einrichtungen 3);3330;1643
4011;Stadt Bremen;2012-12;Insgesamt;125994;71979
4011;Stadt Bremen;2012-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;130377;75932
4011;Stadt Bremen;2012-11;Sonstige Einrichtungen 3);4787;2353
4011;Stadt Bremen;2012-11;Insgesamt;135164;78285
4011;Stadt Bremen;2012-10;Hotels, Hotels garnis, Gasth�fe, Pensionen;143148;79280
4011;Stadt Bremen;2012-10;Sonstige Einrichtungen 3);7584;3359
4011;Stadt Bremen;2012-10;Insgesamt;150732;82639
4011;Stadt Bremen;2012-09;Hotels, Hotels garnis, Gasth�fe, Pensionen;141300;79252
4011;Stadt Bremen;2012-09;Sonstige Einrichtungen 3);7430;3126
4011;Stadt Bremen;2012-09;Insgesamt;148730;82378
4011;Stadt Bremen;2012-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;117250;65311
4011;Stadt Bremen;2012-08;Sonstige Einrichtungen 3);7693;3147
4011;Stadt Bremen;2012-08;Insgesamt;124943;68458
4011;Stadt Bremen;2012-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;122072;68670
4011;Stadt Bremen;2012-07;Sonstige Einrichtungen 3);7574;3492
4011;Stadt Bremen;2012-07;Insgesamt;129646;72162
4011;Stadt Bremen;2012-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;126161;71559
4011;Stadt Bremen;2012-06;Sonstige Einrichtungen 3);6864;3279
4011;Stadt Bremen;2012-06;Insgesamt;133025;74838
4011;Stadt Bremen;2012-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;124144;73840
4011;Stadt Bremen;2012-05;Sonstige Einrichtungen 3);7230;3136
4011;Stadt Bremen;2012-05;Insgesamt;131374;76976
4011;Stadt Bremen;2012-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;116594;68067
4011;Stadt Bremen;2012-04;Sonstige Einrichtungen 3);6751;3079
4011;Stadt Bremen;2012-04;Insgesamt;123345;71146
4011;Stadt Bremen;2012-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;109113;66384
4011;Stadt Bremen;2012-03;Sonstige Einrichtungen 3);6136;2890
4011;Stadt Bremen;2012-03;Insgesamt;115249;69274
4011;Stadt Bremen;2012-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;106855;65893
4011;Stadt Bremen;2012-02;Sonstige Einrichtungen 3);2960;1573
4011;Stadt Bremen;2012-02;Insgesamt;109815;67466
4011;Stadt Bremen;2012-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;96791;59513
4011;Stadt Bremen;2012-01;Sonstige Einrichtungen 3);2701;1418
4011;Stadt Bremen;2012-01;Insgesamt;99492;60931
4011;Stadt Bremen;2011-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;121608;74691
4011;Stadt Bremen;2011-12;Sonstige Einrichtungen 3);3998;2043
4011;Stadt Bremen;2011-12;Insgesamt;125606;76734
4011;Stadt Bremen;2011-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;127856;78588
4011;Stadt Bremen;2011-11;Sonstige Einrichtungen 3);5184;2530
4011;Stadt Bremen;2011-11;Insgesamt;133040;81118
4011;Stadt Bremen;2011-10;Hotels, Hotels garnis, Gasth�fe, Pensionen;140863;81306
4011;Stadt Bremen;2011-10;Sonstige Einrichtungen 3);7508;3798
4011;Stadt Bremen;2011-10;Insgesamt;148371;85104
4011;Stadt Bremen;2011-09;Hotels, Hotels garnis, Gasth�fe, Pensionen;138589;79995
4011;Stadt Bremen;2011-09;Sonstige Einrichtungen 3);7392;3753
4011;Stadt Bremen;2011-09;Insgesamt;145981;83748
4011;Stadt Bremen;2011-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;128439;73706
4011;Stadt Bremen;2011-08;Sonstige Einrichtungen 3);7319;3711
4011;Stadt Bremen;2011-08;Insgesamt;135758;77417
4011;Stadt Bremen;2011-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;122825;71705
4011;Stadt Bremen;2011-07;Sonstige Einrichtungen 3);7451;3803
4011;Stadt Bremen;2011-07;Insgesamt;130276;75508
4011;Stadt Bremen;2011-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;124098;71384
4011;Stadt Bremen;2011-06;Sonstige Einrichtungen 3);8419;4134
4011;Stadt Bremen;2011-06;Insgesamt;132517;75518
4011;Stadt Bremen;2011-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;138520;82328
