id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
287,10,9,04011,3308,7069
288,10,9,04011,81974,137789
289,10,8,04011,70720,121270
290,10,8,04011,4111,8133
291,10,8,04011,74831,129403
292,10,7,04011,63937,114160
293,10,7,04011,3583,7512
294,10,7,04011,67520,121672
295,10,6,04011,67515,112744
296,10,6,04011,3364,7245
297,10,6,04011,70879,119989
298,10,5,04011,70721,118927
299,10,5,04011,3985,8667
300,10,5,04011,74706,127594
301,10,4,04011,66658,109150
302,10,4,04011,2932,6574
303,10,4,04011,69590,115724
304,10,3,04011,57192,96728
305,10,3,04011,3437,8100
306,10,3,04011,60629,104828
307,10,2,04011,56935,92798
308,10,2,04011,2203,4929
309,10,2,04011,59138,97727
310,10,1,04011,46693,77657
311,10,1,04011,1141,2619
312,10,1,04011,47834,80276
313,09,12,04011,62584,105902
314,09,12,04011,1619,3496
315,09,12,04011,64203,109398
316,09,11,04011,63149,104038
317,09,11,04011,2402,4799
318,09,11,04011,65551,108837
319,09,10,04011,69287,120058
320,09,10,04011,3519,7688
321,09,10,04011,72806,127746
322,09,9,04011,67154,117982
323,09,9,04011,3501,8663
324,09,9,04011,70655,126645
325,09,8,04011,62925,113077
326,09,8,04011,3638,7779
327,09,8,04011,66563,120856
328,09,7,04011,55645,96678
329,09,7,04011,3865,7819
330,09,7,04011,59510,104497
331,09,6,04011,61859,107075
332,09,6,04011,3425,7027
333,09,6,04011,65284,114102
334,09,5,04011,68266,122662
335,09,5,04011,2544,6565
336,09,5,04011,70810,129227
337,09,4,04011,58783,99446
338,09,4,04011,3560,8260
339,09,4,04011,62343,107706
340,09,3,04011,55780,94212
341,09,3,04011,2254,4866
342,09,3,04011,58034,99078
343,09,2,04011,51874,85827
344,09,2,04011,1933,4275
345,09,2,04011,53807,90102
346,09,1,04011,44328,73349
347,09,1,04011,1475,3105
348,09,1,04011,45803,76454
349,08,12,04011,61323,101126
350,08,12,04011,2501,4518
351,08,12,04011,63824,105644
352,08,11,04011,67617,112325
353,08,11,04011,2368,5020
354,08,11,04011,69985,117345
355,08,10,04011,67567,119189
356,08,10,04011,3627,7612
357,08,10,04011,71194,126801
358,08,9,04011,72796,124515
359,08,9,04011,3206,7816
360,08,9,04011,76002,132331
361,08,8,04011,63345,113722
362,08,8,04011,3919,8097
363,08,8,04011,67264,121819
364,08,7,04011,56298,101973
365,08,7,04011,3401,6907
366,08,7,04011,59699,108880
367,08,6,04011,65063,109662
368,08,6,04011,3411,7915
369,08,6,04011,68474,117577
370,08,5,04011,62620,110661
371,08,5,04011,3244,8618
372,08,5,04011,65864,119279
373,08,4,04011,64769,106178
374,08,4,04011,3103,7514
375,08,4,04011,67872,113692
376,08,3,04011,52736,91334
377,08,3,04011,2868,6260
378,08,3,04011,55604,97594
379,08,2,04011,58960,96795
380,08,2,04011,1931,4419
381,08,2,04011,60891,101214
382,08,1,04011,53532,87756
383,08,1,04011,1657,3971
384,08,1,04011,55189,91727
385,18,8,04012,25379,44327
386,18,8,04012,1551,3792
387,18,8,04012,26930,48119
388,18,7,04012,23970,41679
389,18,7,04012,1773,3917
390,18,7,04012,25743,45596
391,18,6,04012,21729,38113
392,18,6,04012,1398,3818
393,18,6,04012,23127,41931
394,18,5,04012,23471,40281
395,18,5,04012,1647,3683
396,18,5,04012,25118,43964
397,18,4,04012,16813,31052
398,18,4,04012,1317,3131
399,18,4,04012,18130,34183
400,18,3,04012,14637,27678
401,18,3,04012,1270,3624
402,18,3,04012,15907,31302
403,18,2,04012,12494,24186
404,18,2,04012,939,1831
405,18,2,04012,13433,26017
406,18,1,04012,10913,20543
407,18,1,04012,602,1315
408,18,1,04012,11515,21858
409,17,12,04012,11875,21064
410,17,12,04012,622,1638
411,17,12,04012,12497,22702
412,17,11,04012,12854,23842
413,17,11,04012,960,2211
414,17,11,04012,13814,26053
415,17,10,04012,17759,33750
416,17,10,04012,1403,3545
417,17,10,04012,19162,37295
418,17,9,04012,19841,33998
419,17,9,04012,1685,4150
420,17,9,04012,21526,38148
421,17,8,04012,21583,39216
422,17,8,04012,1774,4227
423,17,8,04012,23357,43443
424,17,7,04012,20370,35823
425,17,7,04012,1838,4130
426,17,7,04012,22208,39953
427,17,6,04012,19830,34736
428,17,6,04012,1831,4058
429,17,6,04012,21661,38794
430,17,5,04012,18645,33371
431,17,5,04012,1723,4191
432,17,5,04012,20368,37562
433,17,4,04012,14961,28325
434,17,4,04012,1615,4035
435,17,4,04012,16576,32360
436,17,3,04012,12368,24252
437,17,3,04012,930,2576
438,17,3,04012,13298,26828
439,17,2,04012,11388,22063
440,17,2,04012,510,1297
441,17,2,04012,11898,23360
442,17,1,04012,10867,19680
443,17,1,04012,418,1020
444,17,1,04012,11285,20700
445,16,12,04012,11308,20114
446,16,12,04012,417,984
447,16,12,04012,11725,21098
448,16,11,04012,12571,22338
449,16,11,04012,557,1137
450,16,11,04012,13128,23475
451,16,10,04012,17462,31250
452,16,10,04012,1518,3798
453,16,10,04012,18980,35048
454,16,9,04012,19472,33578
455,16,9,04012,1307,3396
456,16,9,04012,20779,36974
457,16,8,04012,20725,38245
458,16,8,04012,1527,3947
459,16,8,04012,22252,42192
460,16,7,04012,19226,36229
461,16,7,04012,1724,4033
462,16,7,04012,20950,40262
463,16,6,04012,17836,32371
464,16,6,04012,1435,3624
465,16,6,04012,19271,35995
466,16,5,04012,18628,36659
467,16,5,04012,1692,3969
468,16,5,04012,20320,40628
469,16,4,04012,14558,29590
470,16,4,04012,1077,2582
471,16,4,04012,15635,32172
472,16,3,04012,13765,26834
473,16,3,04012,1047,3202
474,16,3,04012,14812,30036
475,16,2,04012,11133,19953
476,16,2,04012,775,1563
477,16,2,04012,11908,21516
478,16,1,04012,9680,20438
479,16,1,04012,667,1510
480,16,1,04012,10347,21948
481,15,12,04012,10898,21695
482,15,12,04012,607,1975
483,15,12,04012,11505,23670
484,15,11,04012,13578,26192
485,15,11,04012,546,1754
486,15,11,04012,14124,27946
487,15,10,04012,16197,29948
488,15,10,04012,1315,3170
489,15,10,04012,17512,33118
490,15,9,04012,16675,32841
491,15,9,04012,1263,3399
492,15,9,04012,17938,36240
493,15,8,04012,17920,36225
494,15,8,04012,1689,4294
495,15,8,04012,19609,40519
496,15,7,04012,16222,30177
497,15,7,04012,1841,4289
498,15,7,04012,18063,34466
499,15,6,04012,15578,28664
500,15,6,04012,1443,3535
501,15,6,04012,17021,32199
502,15,5,04012,17082,31623
503,15,5,04012,1714,4025
504,15,5,04012,18796,35648
505,15,4,04012,14139,25873
506,15,4,04012,1299,3927
507,15,4,04012,15438,29800
508,15,3,04012,12044,24354
509,15,3,04012,991,2227
510,15,3,04012,13035,26581
511,15,2,04012,10172,19708
512,15,2,04012,856,1504
513,15,2,04012,11028,21212
514,15,1,04012,9135,17823
515,15,1,04012,593,1335
516,15,1,04012,9728,19158
517,14,12,04012,10844,20808
518,14,12,04012,301,577
519,14,12,04012,11145,21385
520,14,11,04012,12508,23887
521,14,11,04012,730,1560
522,14,11,04012,13238,25447
523,14,10,04012,16112,33106
524,14,10,04012,1449,3627
525,14,10,04012,17561,36733
526,14,9,04012,16926,32538
527,14,9,04012,1232,3397
528,14,9,04012,18158,35935
529,14,8,04012,16679,33252
530,14,8,04012,1541,3886
531,14,8,04012,18220,37138
532,14,7,04012,15938,30764
533,14,7,04012,1771,4192
534,14,7,04012,17709,34956
535,14,6,04012,15308,30560
536,14,6,04012,1448,3232
537,14,6,04012,16756,33792
538,14,5,04012,16272,33208
539,14,5,04012,1344,3234
540,14,5,04012,17616,36442
541,14,4,04012,12821,24401
542,14,4,04012,1305,3375
543,14,4,04012,14126,27776
544,14,3,04012,12123,22576
545,14,3,04012,1139,3066
546,14,3,04012,13262,25642
547,14,2,04012,9270,19146
548,14,2,04012,619,1642
549,14,2,04012,9889,20788
550,14,1,04012,8603,16718
551,14,1,04012,651,1566
552,14,1,04012,9254,18284
553,13,12,04012,10098,19058
554,13,12,04012,384,770
555,13,12,04012,10482,19828
556,13,11,04012,11794,21725
557,13,11,04012,838,1786
558,13,11,04012,12632,23511
