469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04011;Stadt Bremen;2016-12;Sonstige Einrichtungen 3);5;638;11660;993;2386;489
04011;Stadt Bremen;2016-12;Insgesamt;88;11103;161335;32702;91418;16953
04011;Stadt Bremen;2016-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;148395;31110;88135;16251
04011;Stadt Bremen;2016-11;Sonstige Einrichtungen 3);5;638;12958;916;2677;450
04011;Stadt Bremen;2016-11;Insgesamt;88;11103;161353;32026;90812;16701
04011;Stadt Bremen;2016-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;169890;37851;96294;19625
04011;Stadt Bremen;2016-10;Sonstige Einrichtungen 3);5;638;14810;1307;3477;675
04011;Stadt Bremen;2016-10;Insgesamt;88;11103;184700;39158;99771;20300
04011;Stadt Bremen;2016-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;167234;37668;96083;19533
04011;Stadt Bremen;2016-09;Sonstige Einrichtungen 3);5;638;15761;1546;3658;778
04011;Stadt Bremen;2016-09;Insgesamt;88;11103;182995;39214;99741;20311
04011;Stadt Bremen;2016-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;161448;41172;91722;21970
04011;Stadt Bremen;2016-08;Sonstige Einrichtungen 3);5;638;15887;3190;3888;1900
04011;Stadt Bremen;2016-08;Insgesamt;88;11103;177335;44362;95610;23870
04011;Stadt Bremen;2016-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;142027;43986;80521;23918
04011;Stadt Bremen;2016-07;Sonstige Einrichtungen 3);5;638;15686;4548;3861;2553
04011;Stadt Bremen;2016-07;Insgesamt;88;11103;157713;48534;84382;26471
04011;Stadt Bremen;2016-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;144791;35489;83447;18282
04011;Stadt Bremen;2016-06;Sonstige Einrichtungen 3);5;638;15722;2624;3480;1376
04011;Stadt Bremen;2016-06;Insgesamt;88;11103;160513;38113;86927;19658
04011;Stadt Bremen;2016-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;159840;35515;87893;18407
04011;Stadt Bremen;2016-05;Sonstige Einrichtungen 3);5;638;15165;1997;3539;949
04011;Stadt Bremen;2016-05;Insgesamt;88;11103;175005;37512;91432;19356
04011;Stadt Bremen;2016-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;153846;36747;89356;19275
04011;Stadt Bremen;2016-04;Sonstige Einrichtungen 3);5;638;14421;1346;2956;583
04011;Stadt Bremen;2016-04;Insgesamt;88;11103;168267;38093;92312;19858
04011;Stadt Bremen;2016-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;134409;29407;74882;14972
04011;Stadt Bremen;2016-03;Sonstige Einrichtungen 3);5;638;14794;1029;2983;426
04011;Stadt Bremen;2016-03;Insgesamt;88;11103;149203;30436;77865;15398
04011;Stadt Bremen;2016-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;130507;27809;75678;14516
04011;Stadt Bremen;2016-02;Sonstige Einrichtungen 3);5;638;11844;679;1919;203
04011;Stadt Bremen;2016-02;Insgesamt;88;11103;142351;28488;77597;14719
04011;Stadt Bremen;2016-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;108974;22621;62897;11256
04011;Stadt Bremen;2016-01;Sonstige Einrichtungen 3);5;638;14381;722;1874;267
04011;Stadt Bremen;2016-01;Insgesamt;88;11103;123355;23343;64771;11523
04011;Stadt Bremen;2015-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;149004;35736;87491;18345
04011;Stadt Bremen;2015-12;Sonstige Einrichtungen 3);6;701;14293;1131;2126;441
04011;Stadt Bremen;2015-12;Insgesamt;94;11467;163297;36867;89617;18786
04011;Stadt Bremen;2015-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;153293;35068;87993;17527
04011;Stadt Bremen;2015-11;Sonstige Einrichtungen 3);6;701;12759;836;2720;342
04011;Stadt Bremen;2015-11;Insgesamt;94;11467;166052;35904;90713;17869
04011;Stadt Bremen;2015-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;173429;40117;98219;19655
04011;Stadt Bremen;2015-10;Sonstige Einrichtungen 3);6;701;15935;1372;3707;603
04011;Stadt Bremen;2015-10;Insgesamt;94;11467;189364;41489;101926;20258
