469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04;Land Bremen;2014-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;165583;39287;94659;19063
04;Land Bremen;2014-12;Sonstige Einrichtungen 3);7;890;15274;1319;3029;518
04;Land Bremen;2014-12;Insgesamt;118;13000;180857;40606;97688;19581
04;Land Bremen;2014-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;184228;45246;98822;18853
04;Land Bremen;2014-11;Sonstige Einrichtungen 3);7;890;16635;1496;3408;516
04;Land Bremen;2014-11;Insgesamt;118;13000;200863;46742;102230;19369
04;Land Bremen;2014-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;205246;44088;114535;20566
04;Land Bremen;2014-10;Sonstige Einrichtungen 3);7;890;19605;1741;5003;679
04;Land Bremen;2014-10;Insgesamt;118;13000;224851;45829;119538;21245
04;Land Bremen;2014-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;186662;39820;104938;19929
04;Land Bremen;2014-09;Sonstige Einrichtungen 3);7;890;18827;1785;4923;769
04;Land Bremen;2014-09;Insgesamt;118;13000;205489;41605;109861;20698
04;Land Bremen;2014-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;182154;41173;98314;20372
04;Land Bremen;2014-08;Sonstige Einrichtungen 3);7;890;18654;4512;4931;2452
04;Land Bremen;2014-08;Insgesamt;118;13000;200808;45685;103245;22824
04;Land Bremen;2014-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;172441;42871;97647;23158
04;Land Bremen;2014-07;Sonstige Einrichtungen 3);7;890;20997;5088;5853;2895
04;Land Bremen;2014-07;Insgesamt;118;13000;193438;47959;103500;26053
04;Land Bremen;2014-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;168304;37555;93941;19320
04;Land Bremen;2014-06;Sonstige Einrichtungen 3);7;890;17023;2013;4691;947
04;Land Bremen;2014-06;Insgesamt;118;13000;185327;39568;98632;20267
04;Land Bremen;2014-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;186384;42984;103439;20390
04;Land Bremen;2014-05;Sonstige Einrichtungen 3);7;890;18408;2280;4743;1015
04;Land Bremen;2014-05;Insgesamt;118;13000;204792;45264;108182;21405
04;Land Bremen;2014-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;152061;38484;83432;18062
04;Land Bremen;2014-04;Sonstige Einrichtungen 3);7;890;17394;2552;4542;1056
04;Land Bremen;2014-04;Insgesamt;118;13000;169455;41036;87974;19118
04;Land Bremen;2014-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;154954;32450;86452;15023
04;Land Bremen;2014-03;Sonstige Einrichtungen 3);7;890;16530;1798;3749;553
04;Land Bremen;2014-03;Insgesamt;118;13000;171484;34248;90201;15576
04;Land Bremen;2014-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;136410;28593;78217;13487
04;Land Bremen;2014-02;Sonstige Einrichtungen 3);7;890;13365;1531;3064;531
04;Land Bremen;2014-02;Insgesamt;118;13000;149775;30124;81281;14018
04;Land Bremen;2014-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;111;12110;120965;25400;70265;12474
04;Land Bremen;2014-01;Sonstige Einrichtungen 3);7;890;8810;1300;2294;420
04;Land Bremen;2014-01;Insgesamt;118;13000;129775;26700;72559;12894
04;Land Bremen;2013-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;158093;39048;91270;19402
04;Land Bremen;2013-12;Sonstige Einrichtungen 3);6;696;8631;1415;2471;535
04;Land Bremen;2013-12;Insgesamt;115;12378;166724;40463;93741;19937
04;Land Bremen;2013-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;163944;36556;95547;18452
04;Land Bremen;2013-11;Sonstige Einrichtungen 3);6;696;9823;1222;3340;519
04;Land Bremen;2013-11;Insgesamt;115;12378;173767;37778;98887;18971
04;Land Bremen;2013-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;179078;41025;100506;20780
04;Land Bremen;2013-10;Sonstige Einrichtungen 3);6;696;14375;1414;5293;656
04;Land Bremen;2013-10;Insgesamt;115;12378;193453;42439;105799;21436
04;Land Bremen;2013-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;180719;37044;101700;18042
04;Land Bremen;2013-09;Sonstige Einrichtungen 3);6;696;13276;1705;4220;621
04;Land Bremen;2013-09;Insgesamt;115;12378;193995;38749;105920;18663
04;Land Bremen;2013-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;176337;40752;97633;20616
04;Land Bremen;2013-08;Sonstige Einrichtungen 3);6;696;14664;3616;5476;1605
04;Land Bremen;2013-08;Insgesamt;115;12378;191001;44368;103109;22221
04;Land Bremen;2013-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;160024;40343;89683;20852
04;Land Bremen;2013-07;Sonstige Einrichtungen 3);6;696;13666;4220;5118;2197
04;Land Bremen;2013-07;Insgesamt;115;12378;173690;44563;94801;23049
04;Land Bremen;2013-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;161460;36804;92485;18601
04;Land Bremen;2013-06;Sonstige Einrichtungen 3);6;696;12642;2993;4459;1216
04;Land Bremen;2013-06;Insgesamt;115;12378;174102;39797;96944;19817
04;Land Bremen;2013-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;172789;36869;96031;18056
