jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
4012,2016,11,1137,557
4012,2016,11,23475,13128
4012,2016,10,31250,17462
4012,2016,10,3798,1518
4012,2016,10,35048,18980
4012,2016,09,33578,19472
4012,2016,09,3396,1307
4012,2016,09,36974,20779
4012,2016,08,38245,20725
4012,2016,08,3947,1527
4012,2016,08,42192,22252
4012,2016,07,36229,19226
4012,2016,07,4033,1724
4012,2016,07,40262,20950
4012,2016,06,32371,17836
4012,2016,06,3624,1435
4012,2016,06,35995,19271
4012,2016,05,36659,18628
4012,2016,05,3969,1692
4012,2016,05,40628,20320
4012,2016,04,29590,14558
4012,2016,04,2582,1077
4012,2016,04,32172,15635
4012,2016,03,26834,13765
4012,2016,03,3202,1047
4012,2016,03,30036,14812
4012,2016,02,19953,11133
4012,2016,02,1563,775
4012,2016,02,21516,11908
4012,2016,01,20438,9680
4012,2016,01,1510,667
4012,2016,01,21948,10347
4012,2015,12,21695,10898
4012,2015,12,1975,607
4012,2015,12,23670,11505
4012,2015,11,26192,13578
4012,2015,11,1754,546
4012,2015,11,27946,14124
4012,2015,10,29948,16197
4012,2015,10,3170,1315
4012,2015,10,33118,17512
4012,2015,09,32841,16675
4012,2015,09,3399,1263
4012,2015,09,36240,17938
4012,2015,08,36225,17920
4012,2015,08,4294,1689
4012,2015,08,40519,19609
4012,2015,07,30177,16222
4012,2015,07,4289,1841
4012,2015,07,34466,18063
4012,2015,06,28664,15578
4012,2015,06,3535,1443
4012,2015,06,32199,17021
4012,2015,05,31623,17082
4012,2015,05,4025,1714
4012,2015,05,35648,18796
4012,2015,04,25873,14139
4012,2015,04,3927,1299
4012,2015,04,29800,15438
4012,2015,03,24354,12044
4012,2015,03,2227,991
4012,2015,03,26581,13035
4012,2015,02,19708,10172
4012,2015,02,1504,856
4012,2015,02,21212,11028
4012,2015,01,17823,9135
4012,2015,01,1335,593
4012,2015,01,19158,9728
4012,2014,12,20808,10844
4012,2014,12,577,301
4012,2014,12,21385,11145
4012,2014,11,23887,12508
4012,2014,11,1560,730
4012,2014,11,25447,13238
4012,2014,10,33106,16112
4012,2014,10,3627,1449
4012,2014,10,36733,17561
4012,2014,09,32538,16926
4012,2014,09,3397,1232
4012,2014,09,35935,18158
4012,2014,08,33252,16679
4012,2014,08,3886,1541
4012,2014,08,37138,18220
4012,2014,07,30764,15938
4012,2014,07,4192,1771
4012,2014,07,34956,17709
4012,2014,06,30560,15308
4012,2014,06,3232,1448
4012,2014,06,33792,16756
4012,2014,05,33208,16272
4012,2014,05,3234,1344
4012,2014,05,36442,17616
4012,2014,04,24401,12821
4012,2014,04,3375,1305
4012,2014,04,27776,14126
4012,2014,03,22576,12123
4012,2014,03,3066,1139
4012,2014,03,25642,13262
4012,2014,02,19146,9270
4012,2014,02,1642,619
4012,2014,02,20788,9889
4012,2014,01,16718,8603
4012,2014,01,1566,651
4012,2014,01,18284,9254
4012,2013,12,19058,10098
4012,2013,12,770,384
4012,2013,12,19828,10482
4012,2013,11,21725,11794
4012,2013,11,1786,838
4012,2013,11,23511,12632
4012,2013,10,29456,14912
4012,2013,10,4166,1657
4012,2013,10,33622,16569
4012,2013,09,31318,16108
4012,2013,09,3435,1333
4012,2013,09,34753,17441
4012,2013,08,32059,16116
4012,2013,08,4214,1645
4012,2013,08,36273,17761
4012,2013,07,30124,14963
4012,2013,07,3638,1564
4012,2013,07,33762,16527
4012,2013,06,27710,14470
4012,2013,06,3713,1588
4012,2013,06,31423,16058
4012,2013,05,27429,14134
4012,2013,05,3762,1653
4012,2013,05,31191,15787
4012,2013,04,23716,12050
4012,2013,04,2657,952
4012,2013,04,26373,13002
4012,2013,03,20833,10488
4012,2013,03,3410,1010
4012,2013,03,24243,11498
4012,2013,02,16659,8728
4012,2013,02,1522,580
4012,2013,02,18181,9308
4012,2013,01,16964,8342
4012,2013,01,818,324
4012,2013,01,17782,8666
4012,2012,12,18540,9543
4012,2012,12,684,294
4012,2012,12,19224,9837
4012,2012,11,21685,11563
4012,2012,11,2103,918
4012,2012,11,23788,12481
4012,2012,10,28043,13772
4012,2012,10,4193,1521
4012,2012,10,32236,15293
4012,2012,09,28666,14255
4012,2012,09,3809,1418
4012,2012,09,32475,15673
4012,2012,08,31024,15201
4012,2012,08,4428,1752
4012,2012,08,35452,16953
4012,2012,07,30132,15044
4012,2012,07,4621,1835
4012,2012,07,34753,16879
4012,2012,06,28511,14473
4012,2012,06,3529,1354
4012,2012,06,32040,15827
4012,2012,05,27621,14474
4012,2012,05,3694,1510
4012,2012,05,31315,15984
4012,2012,04,25339,13081
4012,2012,04,4175,1432
4012,2012,04,29514,14513
4012,2012,03,21377,10944
4012,2012,03,2987,1171
4012,2012,03,24364,12115
4012,2012,02,18231,9385
4012,2012,02,1723,717
4012,2012,02,19954,10102
4012,2012,01,17004,9076
4012,2012,01,1137,489
4012,2012,01,18141,9565
4012,2011,12,19376,9878
4012,2011,12,742,339
4012,2011,12,20118,10217
4012,2011,11,22752,11420
4012,2011,11,4037,1781
4012,2011,11,26789,13201
4012,2011,10,30654,15883
4012,2011,10,4023,1753
4012,2011,10,34677,17636
4012,2011,09,30384,15986
4012,2011,09,3968,1377
4012,2011,09,34352,17363
4012,2011,08,32091,15965
4012,2011,08,3812,1510
4012,2011,08,35903,17475
4012,2011,07,30293,15995
4012,2011,07,4616,1766
4012,2011,07,34909,17761
4012,2011,06,31171,16242
4012,2011,06,4182,1873
4012,2011,06,35353,18115
4012,2011,05,27865,14940
4012,2011,05,3711,1491
4012,2011,05,31576,16431
4012,2011,04,25866,13225
4012,2011,04,3921,1352
4012,2011,04,29787,14577
4012,2011,03,20745,10766
4012,2011,03,1794,710
4012,2011,03,22539,11476
4012,2011,02,16309,8692
4012,2011,02,1093,445
4012,2011,02,17402,9137
4012,2011,01,19503,8170
4012,2011,01,1305,538
4012,2011,01,20808,8708
4012,2010,12,20617,8843
4012,2010,12,1287,477
4012,2010,12,21904,9320
4012,2010,11,22625,11849
4012,2010,11,1627,699
4012,2010,11,24252,12548
4012,2010,10,30706,16257
