jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2018,4,03404,26797,40611
2009,4,03405,5442,17144
2010,4,03405,6870,20315
2011,4,03405,7766,23872
2012,4,03405,7636,23029
2013,4,03405,7966,21506
2014,4,03405,8418,23917
2015,4,03405,9608,25933
2016,4,03405,9699,25627
2017,4,03405,13881,34809
2018,4,03405,11165,28891
2009,4,03451,19562,59773
2010,4,03451,18922,58064
2011,4,03451,21135,65825
2012,4,03451,19646,63115
2013,4,03451,19125,57234
2014,4,03451,20135,66960
2015,4,03451,22012,68237
2016,4,03451,20344,60929
2017,4,03451,22048,72025
2018,4,03451,23575,70519
2009,4,03452,64129,309738
2010,4,03452,58689,296822
2011,4,03452,68980,337164
2012,4,03452,66334,338896
2013,4,03452,51626,250051
2014,4,03452,73196,341784
2015,4,03452,65481,316229
2016,4,03452,58825,263955
2017,4,03452,83480,384051
2018,4,03452,67783,311633
2009,4,03453,10656,32209
2010,4,03453,10825,27539
2011,4,03453,12102,33001
2012,4,03453,11709,31710
2013,4,03453,11213,24865
2014,4,03453,12134,33936
2015,4,03453,11718,30245
2016,4,03453,11673,28669
2017,4,03453,12864,35065
2018,4,03453,13837,35784
2009,4,03454,49195,166903
2010,4,03454,46890,150091
2011,4,03454,51152,183999
2012,4,03454,55405,198610
2013,4,03454,51313,167969
2014,4,03454,54644,187056
2015,4,03454,58728,196328
2016,4,03454,59391,176740
2017,4,03454,67077,226591
2018,4,03454,63318,199087
2009,4,03455,32349,159173
2010,4,03455,27378,130844
2011,4,03455,36846,203086
2012,4,03455,36671,179510
2013,4,03455,31176,131524
2014,4,03455,40360,201262
2015,4,03455,36384,164762
2016,4,03455,34326,159070
2017,4,03455,43633,209241
2018,4,03455,35485,159500
2009,4,03456,11299,52696
2010,4,03456,19451,74591
2011,4,03456,17691,77611
2012,4,03456,19485,82868
2013,4,03456,22527,74382
2014,4,03456,16292,75185
2015,4,03456,15980,56333
2016,4,03456,16158,51583
2017,4,03456,19594,68627
2018,4,03456,20095,65905
2009,4,03457,22579,129325
2010,4,03457,19234,119668
2011,4,03457,26724,148166
2012,4,03457,24525,139292
2013,4,03457,19546,108134
2014,4,03457,24595,135988
2015,4,03457,22071,127193
2016,4,03457,22003,110585
2017,4,03457,31605,157486
2018,4,03457,29759,143456
2009,4,03458,8710,17694
2010,4,03458,9546,19041
2011,4,03458,9131,18526
2012,4,03458,9249,17425
2013,4,03458,10148,18758
2014,4,03458,8827,16848
2015,4,03458,10576,18923
2016,4,03458,14315,24581
2017,4,03458,12692,33058
2018,4,03458,12731,24927
2009,4,03459,28030,123840
2010,4,03459,31435,128480
2011,4,03459,30001,131758
2012,4,03459,32850,141313
2013,4,03459,32433,120541
2014,4,03459,31662,141115
2015,4,03459,32769,128743
2016,4,03459,32721,124127
2017,4,03459,37444,148753
2018,4,03459,37659,141347
2009,4,03460,8438,20109
2010,4,03460,8288,21431
2011,4,03460,8938,22127
2012,4,03460,8500,21456
2013,4,03460,9551,22914
2014,4,03460,8614,21106
2015,4,03460,8626,21263
2016,4,03460,10200,26118
2017,4,03460,10952,28072
2018,4,03460,11796,30192
2009,4,03461,15985,61239
2010,4,03461,12844,51485
2011,4,03461,16295,65057
2012,4,03461,15504,69917
2013,4,03461,11554,43455
2014,4,03461,17264,70097
2015,4,03461,14601,56355
2016,4,03461,12753,45778
2017,4,03461,19223,71093
2018,4,03461,16772,63457
2009,4,03462,44331,217316
2010,4,03462,37199,190009
2011,4,03462,48351,239352
2012,4,03462,44351,227998
2013,4,03462,29591,148759
2014,4,03462,46381,225767
2015,4,03462,41422,203601
2016,4,03462,31184,148248
2017,4,03462,51517,240625
2018,4,03462,37897,182938
2009,8,03101,21177,39611
2010,8,03101,22192,39334
2011,8,03101,23102,43232
2012,8,03101,21476,40657
2013,8,03101,24491,46416
2014,8,03101,22652,42180
2015,8,03101,24626,47747
2016,8,03101,33855,53213
2017,8,03101,38695,61028
2018,8,03101,38724,64183
2009,8,03102,3586,8234
2010,8,03102,3450,10911
2011,8,03102,3941,12417
2012,8,03102,3028,13058
2013,8,03102,3918,15339
2014,8,03102,3076,10642
2015,8,03102,3680,13461
2016,8,03102,5254,15055
2017,8,03102,5088,13709
2018,8,03102,4706,14187
2009,8,03103,20994,43328
2010,8,03103,20824,46571
2011,8,03103,21462,47188
2012,8,03103,18836,46626
2013,8,03103,19022,43794
2014,8,03103,21162,42739
2015,8,03103,24894,44970
2016,8,03103,29229,50865
2017,8,03103,30239,52014
2018,8,03103,34462,59529
2009,8,03151,11785,35314
2010,8,03151,12689,35891
2011,8,03151,12343,37947
2012,8,03151,14105,42774
2013,8,03151,15141,43562
2014,8,03151,13341,42589
2015,8,03151,12828,39052
2016,8,03151,13477,37767
2017,8,03151,11816,29296
2018,8,03151,13265,34435
2009,8,03153,65045,225338
2010,8,03153,64978,236149
2011,8,03153,65628,244699
2012,8,03153,63163,234902
2013,8,03153,67456,243496
2014,8,03153,68787,264277
2015,8,03153,70734,257462
2016,8,03153,75963,273148
2017,8,03153,71930,253363
2018,8,03153,76449,251928
2009,8,03154,9310,18449
2010,8,03154,8749,17604
2011,8,03154,8644,15917
2012,8,03154,7100,12683
2013,8,03154,10896,17982
2014,8,03154,7123,13020
2015,8,03154,6303,11613
2016,8,03154,9660,16118
2017,8,03154,9108,16281
2018,8,03154,9077,15674
2009,8,03155,19399,56500
2010,8,03155,18797,57320
2011,8,03155,16508,55563
2012,8,03155,15180,51989
2013,8,03155,16235,52516
2014,8,03155,15478,49959
2015,8,03155,16184,47166
2016,8,03155,16228,45226
2017,8,03155,15515,42234
2018,8,03155,16007,43996
2009,8,03157,4258,9695
2010,8,03157,4884,10210
2011,8,03157,4528,8784
2012,8,03157,4873,9970
2013,8,03157,4941,9121
2014,8,03157,4189,8249
2015,8,03157,4347,8539
2016,8,03157,4210,8279
2017,8,03157,4602,8150
2018,8,03157,5591,10340
2009,8,03158,4364,8795
2010,8,03158,4637,10240
2011,8,03158,4908,13047
2012,8,03158,4328,13484
2013,8,03158,5229,12911
2014,8,03158,4275,12990
2015,8,03158,4963,12828
2016,8,03158,4629,12268
2017,8,03158,4124,11207
2018,8,03158,4601,11973
2009,8,03159,60203,162169
2010,8,03159,59383,151664
2011,8,03159,59404,157852
2012,8,03159,61013,161661
2013,8,03159,65186,176574
2014,8,03159,63979,193131
2015,8,03159,66449,193180
2016,8,03159,71575,201053
2017,8,03159,74944,201731
2018,8,03159,73785,202568
2009,8,03241,154958,277547
2010,8,03241,170821,311413
2011,8,03241,169232,330228
2012,8,03241,159539,317728
2013,8,03241,177897,333529
2014,8,03241,154982,300170
2015,8,03241,164007,316641
2016,8,03241,188693,347791
2017,8,03241,196189,358374
2018,8,03241,208215,374655
2009,8,03251,11681,21993
2010,8,03251,13161,28256
2011,8,03251,13147,27894
2012,8,03251,13162,27230
2013,8,03251,14406,29187
2014,8,03251,12955,28295
2015,8,03251,13829,30210
2016,8,03251,16219,34830
2017,8,03251,15351,31729
2018,8,03251,16961,35147
2009,8,03252,29644,122042
2010,8,03252,29136,119962
2011,8,03252,28459,116684
2012,8,03252,28598,121107
2013,8,03252,29808,120570
2014,8,03252,27813,116481
2015,8,03252,29242,116324
2016,8,03252,30734,117851
2017,8,03252,29693,112140
2018,8,03252,30909,110003
2009,8,03254,18879,42062
2010,8,03254,21295,46816
2011,8,03254,21300,48158
2012,8,03254,18874,44474
2013,8,03254,23571,53170
2014,8,03254,19776,51009
2015,8,03254,20437,48805
2016,8,03254,24217,55512
2017,8,03254,26435,59605
2018,8,03254,27136,60826
2009,8,03255,9218,21442
2010,8,03255,10707,22329
2011,8,03255,11555,23015
2012,8,03255,11248,21615
2013,8,03255,13077,26521
2014,8,03255,12650,27350
2015,8,03255,13032,28006
2016,8,03255,16878,39028
2017,8,03255,14829,31807
2018,8,03255,13960,33134
2009,8,03256,19264,45003
2010,8,03256,15674,46051
2011,8,03256,16418,53251
2012,8,03256,17767,58122
2013,8,03256,16160,47407
2014,8,03256,17749,66640
2015,8,03256,17467,55201
2016,8,03256,19643,67393
2017,8,03256,16864,62853
2018,8,03256,15706,64103
2009,8,03257,18810,69765
2010,8,03257,18295,68440
2011,8,03257,19510,77767
2012,8,03257,20442,77435
2013,8,03257,22534,83421
2014,8,03257,19911,80940
2015,8,03257,19865,77618
2016,8,03257,22110,82788
2017,8,03257,20479,75019
2018,8,03257,25173,81786
2009,8,03351,29708,74339
2010,8,03351,32451,78809
2011,8,03351,30988,76396
2012,8,03351,31812,79491
2013,8,03351,36784,88779
2014,8,03351,34591,89780
2015,8,03351,32908,87281
2016,8,03351,36564,97494
2017,8,03351,37091,100980
2018,8,03351,38701,103031
2009,8,03352,74806,384589
2010,8,03352,73604,387889
2011,8,03352,70809,373506
2012,8,03352,77654,401041
2013,8,03352,78246,391465
2014,8,03352,79814,416795
2015,8,03352,86563,434190
2016,8,03352,79075,381721
2017,8,03352,76774,381553
2018,8,03352,87190,390952
2009,8,03353,32764,74587
2010,8,03353,32346,78677
2011,8,03353,33330,84772
2012,8,03353,34520,82180
2013,8,03353,37519,89494
2014,8,03353,35897,87560
2015,8,03353,35666,84260
2016,8,03353,34789,82386
2017,8,03353,35830,81963
2018,8,03353,38913,90550
2009,8,03354,11292,36935
2010,8,03354,11163,34796
2011,8,03354,10838,35636
2012,8,03354,11728,35750
2013,8,03354,10811,31933
2014,8,03354,12066,38356
2015,8,03354,12715,39609
2016,8,03354,12689,38071
2017,8,03354,11740,35730
2018,8,03354,11719,33825
2009,8,03355,28312,66954
2010,8,03355,29063,68140
2011,8,03355,27863,65973
2012,8,03355,28981,69303
2013,8,03355,32280,73166
2014,8,03355,30831,73730
2015,8,03355,30107,73559
2016,8,03355,32844,80163
2017,8,03355,31750,77895
2018,8,03355,33889,77079
2009,8,03356,5691,13507
2010,8,03356,6621,16110
2011,8,03356,6445,18123
2012,8,03356,5649,16333
2013,8,03356,6742,16359
2014,8,03356,5597,14506
2015,8,03356,5683,14399
2016,8,03356,6784,15985
2017,8,03356,6383,15773
2018,8,03356,6505,15945
2009,8,03357,23229,57916
2010,8,03357,23425,57582
2011,8,03357,20677,53741
2012,8,03357,20092,53378
2013,8,03357,23052,57492
2014,8,03357,20202,54606
2015,8,03357,21509,62038
2016,8,03357,22025,63077
2017,8,03357,22362,61104
2018,8,03357,23355,63059
2009,8,03358,104590,382537
2010,8,03358,99505,361193
2011,8,03358,100187,366418
2012,8,03358,103569,368461
2013,8,03358,105418,366094
2014,8,03358,115193,420281
2015,8,03358,120319,429229
2016,8,03358,123475,431152
2017,8,03358,124505,428407
2018,8,03358,117959,397792
2009,8,03359,17684,42837
2010,8,03359,21439,50596
2011,8,03359,19530,49481
2012,8,03359,19771,49595
2013,8,03359,21816,53203
2014,8,03359,20336,48609
2015,8,03359,20262,47959
2016,8,03359,21946,55706
2017,8,03359,22869,55673
2018,8,03359,24763,62469
2009,8,03360,16807,87248
2010,8,03360,17773,87652
2011,8,03360,16801,85050
2012,8,03360,15885,86455
2013,8,03360,18438,88217
2014,8,03360,17737,88550
2015,8,03360,17090,86427
2016,8,03360,19387,87932
2017,8,03360,20237,88740
2018,8,03360,18186,82445
2009,8,03361,15134,31708
2010,8,03361,13928,32090
2011,8,03361,15003,36024
2012,8,03361,14215,38284
2013,8,03361,15465,35985
2014,8,03361,14367,37921
2015,8,03361,14830,35282
2016,8,03361,17029,35581
2017,8,03361,18329,37280
2018,8,03361,20673,40260
2009,8,03401,2300,3628
2010,8,03401,2233,4058
2011,8,03401,2300,4245
2012,8,03401,2700,3948
2013,8,03401,2106,3961
2014,8,03401,2364,4662
2015,8,03401,2312,4072
2016,8,03401,2517,4485
2017,8,03401,3282,5518
2018,8,03401,3042,5427
2009,8,03402,6809,13229
2010,8,03402,7037,15535
2011,8,03402,6942,16343
2012,8,03402,7791,17529
2013,8,03402,9746,18590
2014,8,03402,8437,18921
2015,8,03402,8223,17753
2016,8,03402,9827,21130
2017,8,03402,9986,22037
2018,8,03402,10671,22769
2009,8,03403,11714,24529
2010,8,03403,13066,28425
2011,8,03403,12274,27660
2012,8,03403,10623,25340
2013,8,03403,13276,28866
2014,8,03403,13447,29808
2015,8,03403,13758,30580
2016,8,03403,16219,33948
2017,8,03403,15774,35147
2018,8,03403,16986,36780
2009,8,03404,16993,26301
2010,8,03404,16656,26444
2011,8,03404,16111,26501
2012,8,03404,15282,24079
2013,8,03404,16523,26647
2014,8,03404,15850,25431
2015,8,03404,20523,33816
2016,8,03404,26464,43788
2017,8,03404,25875,40499
2018,8,03404,26958,43410
2009,8,03405,7849,23748
2010,8,03405,10297,29876
2011,8,03405,10332,30466
2012,8,03405,10339,31608
2013,8,03405,13053,35330
2014,8,03405,12679,37242
2015,8,03405,13586,40433
2016,8,03405,14520,41135
2017,8,03405,13945,41061
2018,8,03405,14728,40930
2009,8,03451,26577,87389
2010,8,03451,26384,86858
2011,8,03451,25429,87700
2012,8,03451,25523,90529
2013,8,03451,27077,91221
2014,8,03451,26018,94512
2015,8,03451,26987,95115
2016,8,03451,29377,94555
2017,8,03451,30207,93587
2018,8,03451,30704,97673
2009,8,03452,99826,599229
2010,8,03452,95428,616821
2011,8,03452,92750,613408
2012,8,03452,94810,595485
2013,8,03452,103895,612887
2014,8,03452,103180,615680
2015,8,03452,104543,612778
2016,8,03452,105317,629082
2017,8,03452,108852,629144
2018,8,03452,110669,652578
2009,8,03453,13357,38055
2010,8,03453,14957,44958
2011,8,03453,14991,50360
2012,8,03453,15271,52037
2013,8,03453,14747,43958
2014,8,03453,15568,57887
2015,8,03453,15495,54919
2016,8,03453,16243,53942
2017,8,03453,17235,52627
2018,8,03453,18696,60222
2009,8,03454,57094,217344
2010,8,03454,61867,242903
2011,8,03454,62195,265115
2012,8,03454,60780,248103
2013,8,03454,70520,258980
2014,8,03454,74074,277913
2015,8,03454,70015,273064
2016,8,03454,76821,285555
2017,8,03454,77942,291274
2018,8,03454,83271,301644
2009,8,03455,50475,331845
2010,8,03455,53164,360719
2011,8,03455,55981,376365
2012,8,03455,64838,375976
2013,8,03455,64619,363444
2014,8,03455,62719,379617
2015,8,03455,62482,401443
2016,8,03455,58993,375527
2017,8,03455,52906,358754
2018,8,03455,58756,385711
2009,8,03456,24228,79323
2010,8,03456,30244,113007
2011,8,03456,22198,87865
2012,8,03456,29866,116186
2013,8,03456,30625,127440
2014,8,03456,23270,96174
2015,8,03456,23647,92039
2016,8,03456,24398,100237
2017,8,03456,26137,98014
2018,8,03456,25705,100343
2009,8,03457,34781,224243
2010,8,03457,36391,243767
2011,8,03457,36263,248252
2012,8,03457,36333,234562
