jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2017,8,03159,201731,74944
2018,8,03159,202568,73785
2009,8,03241,277547,154958
2010,8,03241,311413,170821
2011,8,03241,330228,169232
2012,8,03241,317728,159539
2013,8,03241,333529,177897
2014,8,03241,300170,154982
2015,8,03241,316641,164007
2016,8,03241,347791,188693
2017,8,03241,358374,196189
2018,8,03241,374655,208215
2009,8,03251,21993,11681
2010,8,03251,28256,13161
2011,8,03251,27894,13147
2012,8,03251,27230,13162
2013,8,03251,29187,14406
2014,8,03251,28295,12955
2015,8,03251,30210,13829
2016,8,03251,34830,16219
2017,8,03251,31729,15351
2018,8,03251,35147,16961
2009,8,03252,122042,29644
2010,8,03252,119962,29136
2011,8,03252,116684,28459
2012,8,03252,121107,28598
2013,8,03252,120570,29808
2014,8,03252,116481,27813
2015,8,03252,116324,29242
2016,8,03252,117851,30734
2017,8,03252,112140,29693
2018,8,03252,110003,30909
2009,8,03254,42062,18879
2010,8,03254,46816,21295
2011,8,03254,48158,21300
2012,8,03254,44474,18874
2013,8,03254,53170,23571
2014,8,03254,51009,19776
2015,8,03254,48805,20437
2016,8,03254,55512,24217
2017,8,03254,59605,26435
2018,8,03254,60826,27136
2009,8,03255,21442,9218
2010,8,03255,22329,10707
2011,8,03255,23015,11555
2012,8,03255,21615,11248
2013,8,03255,26521,13077
2014,8,03255,27350,12650
2015,8,03255,28006,13032
2016,8,03255,39028,16878
2017,8,03255,31807,14829
2018,8,03255,33134,13960
2009,8,03256,45003,19264
2010,8,03256,46051,15674
2011,8,03256,53251,16418
2012,8,03256,58122,17767
2013,8,03256,47407,16160
2014,8,03256,66640,17749
2015,8,03256,55201,17467
2016,8,03256,67393,19643
2017,8,03256,62853,16864
2018,8,03256,64103,15706
2009,8,03257,69765,18810
2010,8,03257,68440,18295
2011,8,03257,77767,19510
2012,8,03257,77435,20442
2013,8,03257,83421,22534
2014,8,03257,80940,19911
2015,8,03257,77618,19865
2016,8,03257,82788,22110
2017,8,03257,75019,20479
2018,8,03257,81786,25173
2009,8,03351,74339,29708
2010,8,03351,78809,32451
2011,8,03351,76396,30988
2012,8,03351,79491,31812
2013,8,03351,88779,36784
2014,8,03351,89780,34591
2015,8,03351,87281,32908
2016,8,03351,97494,36564
2017,8,03351,100980,37091
2018,8,03351,103031,38701
2009,8,03352,384589,74806
2010,8,03352,387889,73604
2011,8,03352,373506,70809
2012,8,03352,401041,77654
2013,8,03352,391465,78246
2014,8,03352,416795,79814
2015,8,03352,434190,86563
2016,8,03352,381721,79075
2017,8,03352,381553,76774
2018,8,03352,390952,87190
2009,8,03353,74587,32764
2010,8,03353,78677,32346
2011,8,03353,84772,33330
